Drug Trials Snapshots | FDA,,,,
Brand Name (Drug Trials Snapshot),Drug Name,Original Date of FDA Approval,FDA Approved Use on Original Approval Date*,Brand Name (Prescribing Information)
IBSRELA,tenapanor,"September 12, 2019",Irritable bowel syndrome with constipation,Ibsrela
NOURIANZ,istradefylline  ,"August 27, 2019",Treatment of “off episodes” in patients with Parkinson’s disease,Nourianz
Ga-68-DOTATOC, ,"August 21, 2019",Detection of of tumors called somatostatin receptor positive neuro-endocrine tumors (NETs),Ga-68-dotatoc
XENLETA,lefamulin,"August 19, 2019",Treatment of community-acquired bacterial pneumonia (CABP),Xenleta
INREBIC,fedratinib,"August 16, 2019",Treatment of myelofibrosis,Inrebic
IQIRVO,elafibranor,"June 10, 2024",To treat primary biliary cholangitis (PBC) in combination with ursodeoxycholic acid (UDCA) in adults who have an inadequate response to UDCA or as monotherapy in patients unable to tolerate UDCA,iqirvo
RINVOQ,upadacitinib,"August 16, 2019",Treatment for rheumatoid arthritis,Rinvoq
ROZLYTREK,entrectinib,"August 15, 2019",Treatment of non-small cell lung cancer,Rozlytrek
ROZLYTREK,entrectinib,"August 15, 2019",Treatment of certain types of solid tumors ,Rozlytrek
PRETOMANID, ,"August 14, 2019",​Treatment of lung tuberculosis in limited population,Pretomanid
WAKIX,pitolisant,"August 14, 2019",Treatment of excessive sleepiness due to narcolepsy.,Wakix
TURALIO,pexidartinib,"August 2, 2019",Treatment of tenosynovial giant cell tumor,Turalio
NUBEQA,darolutamide ,"July 30, 2019 ",Treatment of prostate cancer ,Nubeqa 
ACCRUFER,ferric maltol,"July 25, 2019",Treatment of low iron stores,Accrufer
RECARBRIO,"imipenem, cilastatin, and relebactam","July 16, 2019",Treatment of complicated urinary tract infection,Recarbrio
XPOVIO,selinexor,"July 3, 2019",Treatment of multiple myeloma,Xpovio
VYLEESI,bremelanotide injection,"June 21, 2019",Treatment of women with hypoactive sexual desire disorder,Vyleesi
POLIVY,polatuzumab vedotin-piiq,"June 10, 2019",Treatment of adults with diffuse large B-cell lymphoma,Polivy
PIQRAY,alpelisib,"May 24, 2019",Treatment of advanced breast cancer,Piqray
VYNDAQEL / VYNDAMAX,VYNDAQEL(tafamidis meglumine)/ VYNDAMAX (tafamidis),"May 03, 2019",​Treatment of the cardiomyopathy caused by transthyretin‑mediated amyloidosis (ATTR-CM),Vyndaqel
SKYRIZI,risankizumab-rzaa,"April 23, 2019",Treatment of moderate to severe plaque psoriasis,Skyrizi
BALVERSA,erdafitinib,"April 12, 2019",For the treatment of urothelial carcinoma (a type of bladder and urinary tract cancer),Balversa
EVENITY,romosozumab-aqqg,"April 9, 2019 ",For the treatment of osteoporosis in women after menopause,Evenity 
MAYZENT,siponimod,"March 26, 2019",For treatment of adults with relapsing forms of multiple sclerosis,Mayzent
ZULRESSO,brexanolone,"March 19, 2019",Treatment of postpartum depression,Zulresso
EGATEN,triclabendazole,"February 13, 2019",Treatment of fasciolasis,Egaten
CABLIVI ,caplacizumab-yhdp;,"February 06, 2019  ",Treatment of adults with an episode of acquired thrombotic thrombocytopenic purpura (aTTP),Cablivi 
JEUVEAU,efinaconazolebotulinum toxin- type A,"February 1, 2019",Temporary improvement of the appearance of glabellar lines (wrinkles between the eyebrows).,Jeuveau
ELZONRIS,tagraxofusp-erzx,"December 21, 2018",Treatment of blastic plasmacytoid dendritic cell neoplasm (BPDCN,Elzonris
ULTOMIRIS,ravulizumab-cwvz,"December 21, 2018",Treatment of paroxysmal nocturnal hemoglobinuria (PNH),Ultomiris
ASPARLAS,calaspargase pegol-mknl,"December 20, 2018",Treatment of acute lymphoblastic leukemia (ALL),Asparlas
MOTEGRITY,prucalopride,"December 14, 2018",​Treatment of chronic idiopathic constipation (CIC) in adults.,Motegrity
FIRDAPSE,amifampridine,"November 28, 2018",Treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults.,Firdapse
XOSPATA,gilteritinib,"November 28, 2018",Treatment of acute myeloid leukemia (AML) with a FLT3 mutation,Xospata
VITRAKVI,larotrectinib,"November 26, 2018",Treatment of tumors with specific biomarker,Vitrakvi
XOFLUZA,baloxavir marboxil,"November 24, 2018",Treatment of the flu (influenza) in people 12 years of age and older,Xofluza
OXLUMO,lumasiran,"November 23, 2018",Lowering the level of urine oxalate in children and adults with primary hyperoxaluria type 1 (PH1).,Oxlumo
DAURISMO,glasdegib,"November 21, 2018",Treatment of adults with newly-diagnosed acute myeloid leukemia (AML).,Daurismo
GAMIFANT,emapalumab-lzsg,"November 20, 2018",Treatment of patients with primary hemophagocytic lymphohistiocytosis,Gamifant
AEMCOLO,rifamycin,"November 16, 2018",Treatment of traveler's diarrhea in adults,Aemcolo
FETROJA,cefiderocol,"November 14, 2018",For the treatment of a complicated urinary tract infection.,Fetroja
YUPELRI,revefenacin,"November 9, 2018",Maintenance treatment of adults with a lung disease called COPD,Yupelri
LORBRENA,lorlatinib,"November 2, 2018",Treatment of specific type of lung cancer,Lorbrena
TALZENNA,talazoparib,"October 16, 2018",Treatment of adults with a specific form of breast cancer,Talzenna
REVCOVI,evolocumab,"October 5, 2018",Treatment of adenosine deaminase severe combined immune deficiency.,Revcovi
TEGSEDI,inotersen,"October 5, 2018",Treatment of nerve damage in adult patients with hereditary transthyretin-mediated amyloidosis,Tegsedi
NUZYRA,omadacycline,"October 2, 2018",Treatment of community-acquired bacterial pneumonia (CABP),Nuzyra
SEYSARA,sarecycline,"October 1, 2018",For the treatment of certain types of acne vulgaris in patients 9 years and older,Seysara
EMGALITY,galcanezumab-gnim,"September 27, 2018",Preventive treatment of migraine in adults,Emgality
VIZIMPRO,dacomitinib,"September 27, 2018",Treatment of advanced non-small cell lung cancer,Vizimpro
VONJO,pacritinib,"February 28, 2022","To treat adult patients with a rare type of bone marrow disorder called myelofibrosis with platelet counts below 50,000/µL.",VONJO
LIBTAYO,cemiplimab-rwlc,"September 25, 2018",Treatment of advanced skin cancer (squamous cell carcinoma),Libtayo
COPIKTRA,duvelisib,"September 24, 2018","Treatment of chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and follicular lymphoma (FL)",Copiktra
AJOVY,fremanezumab-vfrm,"September 14, 2018",Preventive treatment of migraine in adults,Ajovy
LUMOXITI,moxetumomab pasudotox-tdfk,"September 13, 2018",Treatment of hairy cell leukemia in adults,Lumoxiti
PIFELTRO,doravirine,"August 30, 2018",Treatment of HIV-1 infection in adults,Pifeltro
XERAVA,eravacycline,"August 27, 2018",Complicated intra-abdominal infections caused by bacteria in patients 18 years and older,Xerava
TAKHZYRO,lanadelumab-flyo,"August 23, 2018",Prevent attacks of hereditary angioedema in people 12 years and older,Takhzyro
OXERVATE,cenegermin-bkbj,"August 22, 2018",Treatment of neurotrophic keratitis ,Oxervate
DIACOMIT,stiripentol,"August 20, 2018",Treatment of seizures in patients with Dravet syndrome,Diacomit
ANKTIVA,nogapendekin alfa inbakicept-pmnl,"April 22, 2024","To treat a subtype of non-muscle invasive bladder cancer (NMIBC), called carcinoma in situ (CIS)",Anktivia
ANNOVERA,segesterone acetate and ethinyl estradiol vaginal system,"August 10, 2018",Pregnancy prevention in women,Annovera
GALAFOLD,migalastat hydrochloride,"August 10, 2018",Treatment of Fabry disease in adults,Galafold
ONPATTRO,patisiran,"August 10, 2018",Treatment of nerve damage in adult patients with hereditary tranthyretin-mediated amyloidosis,Onpattro
POTELIGEO,mogamulizumab-kpkc,"August 8, 2018",Treatment of  adults with mycosis fungoides or Sézary syndrome,Poteligeo
MULPLETA,lusutrombopag,"July 31, 2018",Treatment of adults with low platelet count,Mulpleta
OMEGAVEN,fish oil triglycerides,"July 27, 2018",Treatment of Parenteral nutrition-associated cholestasis (PNAC),Omegaven
ORILISSA,elagolix,"July 23, 2018",Treatment of moderate to severe pain associated with endometriosis,Orilissa
KRINTAFEL,tafenoquine,"July 20, 2018","Prevention of malaria relapse caused by the parasite, Plasmodium vivax",Krintafel
TIBSOVO,ivosidenib,"July 20, 2018",Treatment of adults with acute myeloid leukemia (AML) that have a mutation in a gene called IDH1 and whose disease has come back or has not improved after previous treatment(s),Tibsovo
TPOXX,tecovirimat,"July 13, 2018",Treatment of smallpox disease,Tpoxx
BRAFTOVI,encorafenib,"June 27, 2018",Treatment of  melanoma (a type of skin cancer)  when used with another drug binimetinib  ,Bractovi
MEKTOVI,binimetinib,"June 27, 2018",Treatment of  melanoma (a type of skin cancer)  when used with another drug encorafenib.,Mektovi
EPIDIOLEX,cannabidiol,"June 25, 2018",Treatment of seizures in two rare and severe forms of epilepsy.,Epidiolex
ZEMDRI,plazomicin,"June 25, 2018",Treatment of adults who have a complicated urinary tract infection,Zemdri
MOXIDECTIN,moxidectin,"June 13, 2018",Treatment of onchocerciasis in patients 12 years of age and older,Moxidectin
OLUMIANT,baricitinib,"May 31, 2018",Treatment of adult patients with rheumatoid arthritis (RA) whose disease was not well controlled using RA medications called Tumor Necrosis Factor (TNF) antagonists,Olumiant
PALYNZIG,pegvaliase-pqpz,"May 24, 2018",Lowering the blood levels of phenylalanine in adults with phenylketonuria (PKU),Palynziq
DOPTELET,avatrombopag,"May 21, 2018",Treatment of adults with low platelet count,Doptelet
LOKELMA,sodium zirconium cyclosilicate,"May 18, 2018",Treatment of hyperkalemia in adults,Lokelma
AIMOVIG,erenumab-aooe,"May 17, 2018",Preventive treatment of migraine in adults,Aimovig
LUCEMYRA,lofexidine hydrochloride,"May 16, 2018",For the treatment of symptoms associated with opioid withdrawal during abrupt opioid discontinuation,Lucemyra
ONGENTYS,opicapone,"April 24,2018",Treatment of “off episodes” in patients with Parkinson’s disease,Ongentys
AKYNZEO,fosnetupitant and palonosetron,"April 19, 2018",Prevention of the nausea and vomiting that happens right away or later in adults receiving certain anticancer medicines (chemotherapy),Akynzeo
CRYSVITA,burosamab-twza,"April 17, 2018",For the treatment of X-linked hypophosphatemia,Crysvita
TAVALISSE,fostamatinib disodium hexahydrate,"April 17, 2018",Treatment of  adults with low platelet count due to chronic immune thrombocytopenia (ITP),Tavalisse
ILUMYA,tildrakizumab-asmn,"March 20, 2018",For the treatment of moderate to severe plaque psoriasis,Ilumya
SUNOSI,solriamfetol,"March 20, 2018",To improve wakefullness in adults with narcolepsy or obstructive sleep apnea (OSA),Sunosi
TROGARZO,ibalizumab-uiyk,"March 6, 2018",Treatment of human immunodeficiency virus 1 (HIV-1) infection in adults,Trogarzo
ERLEADA,apalutamide,"February 14, 2018",Treatment of prostate cancer that has not spread to other parts of the body (non-metastatic),Erleada
SYMDEKO,tezacaftor/ivacaftor,"February 12, 2018",For the treatment of cystic fibrosis,Symdeko
BIKTARVY,bictegravir/emtricitabine/tenofovir alafenamide,"February 7, 2018",Treatment of human immunodeficiency virus 1 (HIV-1) infection in adults.,Biktarvy
LUTATHERA,lutetium 177 dotate,"January 26, 2018",For the treatment of somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs),Lutathera
GIAPREZA,angiotensin II,"December 21, 2017",Used to increase dangerously low blood pressure in adults with certain types of shock.,Giapreza
MACRILEN,macimorelin acetate ,"December 20, 2017 ",Diagnosis of growth hormone deficiency in adults ,Macrilen
STEGLATRO,ertugliflozin,"December 19, 2017",Improvement of blood sugar control in adults with type 2 diabetes when used in addition to diet and exercise.,Steglatro
RHOPRESSA,netarsudil,"December 18, 2017","Reducing elevated intraocular pressure, when the pressure inside the eye is too high",Rhopressa
XEPI,ozenoxacin,"December 11,2017",Treatment of impetigo due to certain bacteria,Xepi
OZEMPIC ,semaglutide ,"December 5, 2017 ",Improvement of blood sugar control in adults with type 2 diabetes mellitus (DM) when used in addition to diet and exercise. ,Ozempic 
HEMLIBRA,emicizumab,"November 16, 2017",Prevent ion or reduction of bleeding episodes in adults and children with hemophilia A.,Hemlibra
MEPSEVII,vestronidase alfa-vjbk,"November 15, 2017","Treatment of Mucopolysaccharidosis VII (MPS, VII, Sly syndrome)",Mepsevii
FASENRA,benralizumab,"November 14, 2017",Treatment of a specific type of severe asthma (called eosinophilic phenotype asthma),Fasenra
PREVYMIS,letermovir,"November 8, 2017",Prevention of cytomegalovirus (CMV) infection and disease in adults,Prevymis
VYZULTA,latanoprostene bunod,"November 2, 2017 ",Reducing elevated intraocular pressure (IOP),Vyzulta
CALQUENCE,acalabrutinib,"October 31, 2017",Treatment of mantle cell lymphoma (MCL),Calquence 
VERZENIO,abemaciclib,"September 28, 2017",Treatment of specific forms of breast cancer,Verzenio
SOLOSEC,secnidazole,"September 15, 2017",Used to treat adult women with vaginal infections caused by bacteria known as bacterial vaginosis,Solosec
ALIQOPA,copanlisib,"September 14, 2017",Treatment of  adults with follicular lymphoma whose disease has come back after at least two previous treatments.,Aliqopa
BENZNIDAZOLE,Benznidazole,"August 29, 2017",Treatment of Chagas disease in children 2 to 12 years of age.,Benznidazole
VABOMERE,meropenem and vaborbactam,"August 29, 2017",Treatment of adults who have a complicated urinary tract infection (abbreviated as cUTI),Vabomere
BESPONSA,inotuzumab ozogamicin,"August 17, 2017",Treatment of  adults with B-cell acute lymphoblastic leukemia (ALL).,Besponsa
MAVYRET,glecaprevir and pibrentasvir,"August 3, 2017","Treatment of adults who have a specific type of hepatitis C virus (HCV) infection, called chronic hepatitis C virus genotypes 1, 2, 3, 4, 5 or 6 infection",Mavyret
IDHIFA,enasidenib,"August 1, 2017",Treatment of adults with acute myeloid leukemia (AML) that have a mutation in a gene called IDH2 and whose disease has come back or has not improved after previous treatment(s).,Idhifa
VOSEVI,"sofosbuvir,velpatasvir and voxilaprevir","July 18, 2017","Treatment of adults who have a specific type of hepatitis C virus (HCV) infection, called chronic hepatitis C virus genotypes 1, 2, 3, 4, 5 or 6 infection ",Vosevi
NERLYNX,neratinib,"July 17, 2017",Treatment of an early stage HER2 -positive breast cancer.,Nerlynx
TREMFYA,guselkumab,"July 13, 2017", treatment of moderate to severe plaque psoriasis in adults,Tremfya
BEVYXXA,betrixaban,"June 23, 2017",Prevention of venous thromboembolism (VTE),Bevyxxa
BAXDELA,delafloxacin,"June 19, 2017",Treatment of adult patients with bacterial skin infections.,Baxdela
KEVZARA,sarilumab,"May 22, 2017",Treatment  of adult patients with moderately to severely active rheumatoid arthritis (RA),Kevzara
RADICAVA,edaravone,"May 5, 2017",Treatment of Amyotrophic Lateral Sclerosis (ALS),Radicava
IMCIVREE,setmelanotide,"May 1, 2017",Treatment of obesity in patients 6 years and older with rare disorder,Imcivree
IMFINZI,durvalumab,"May 1, 2017",Treatment of a type of bladder and urinary tract cancer called urothelial carcinoma.,Imfinzi
ALUNBRIG,brigatinib,"April 28, 2017",Treatment of a type of lung cancer called non-small cell lung cancer (NSCLC) that is advanced (metastatic).,Alunbrig
RYDAPT,midostaurin,"April 28, 2017","Treatment of adults with acute myeloid leukemia (AML) that has a mutation in a gene called FLT3, in combination with chemotherapy",Rydapt 
RYDAPT,midostaurin,"April 28, 2017",Treatment of adults with advanced systemic mastocytosis (SM),Rydapt
TYMLOS,abaloparatide,"April 28, 2017",Treatment of postmenopausal women with osteoporosis who are at high risk for bone fracture,Tymlos
TZIELD,teplizumab-mzwv,"November 17, 2022",Used to delay the onset of type 1 diabetes in children and adults who are at high risk for type 1 diabetes,Tzield
BRINEURA,cerliponase alfa,"April 27, 2017",Slowing loss of walking ability (ambulation) in symptomatic patients with a specific form of Batten disease.,Brineura
INGREZZA,valbenazine,"April 11, 2017",Treatment of tardive dyskinesia,Ingrezza
AUSTEDO,deutetrabenazine,"April 3, 2017",Treatment of chorea in patients with Huntington’s disease.,Austedo
DUPIXENT,dupilumab,"March 28, 2017",Treatment of moderate to severe atopic dermatitis in adults,Dupixent
OCREVUS,ocrelizumab,"March 28, 2017",Treatment of patients with two types of multiple sclerosis,Ocrevus
ZEJULA,niraparib,"March 27, 2017","Treatment of adult patients with recurrent ovarian cancer, fallopian tube cancer, or primary peritoneal cancer",Zejula 
BAVENCIO,avelumab,"March 23, 2017",Treatment of Merkel cell carcinoma,Bavencio
SYMPROIC,naldemedine,"March 23, 2017",Treatment for adults with constipation caused by prescription pain drugs called opioids,Symproic
XADAGO,safinamide,"March 21, 2017",Treatment of “off episodes” in patients with Parkinson’s disease,Xadago
KISQALI,ribociclib,"March 13, 2017",Treatment of a specific form of advanced breast cancer,Kisqali
KISUNLA,donanemab-azbt,"July 2, 2024",To treat people with Alzheimer’s disease,Kisunla
XERMELO,telotristat ethyl,"February 28, 2017",Treatment of diarrhea in adult patients with carcinoid syndrome,Xermelo
SILIQ,brodalumab,"February 15, 2017",SILIQ is used for treatment of moderate to severe plaque psoriasis in adults,Siliq
EMFLAZA,deflazacort,"February 9, 2017",Treatment of Duchenne muscular dystrophy (DMD) in patients 5 years of age and older,Emflaza
PARSABIV,etelcalcetide,"February 7, 2017",Treat high levels of parathyroid hormone (PTH),Parsabiv
TRULANCE,plecanatide,"January 19, 2017",Treatment of chronic idiopathic constipation in adults,Trulance
SPINRAZA,nusinersen,"December 23, 2016",Treatment of spinal muscular atrophy,Spinraza
RUBRACA,rucaparib,"December 19, 2016",Treatment of women with certain type of advanced ovarian cancer,Rubraca
EUCRISA ,crisaborole ,"December 14, 2016 ",Treatment of mild to moderate atopic dermatitis in patients 2 age years of age and older ,Eucrisa 
ZINPLAVA,bezlotoxumab,"October 21, 2016",Decreasing the risk of Clostridium difficile infection recurrence,Zinplava
LARTRUVO,olaratumab,"October 19, 2016",Treatment of soft tissue sarcoma,Lartruvo
EXONDYS 51,eteplirsen,"September 19, 2016 ",Treatment of particular type of Duchenne muscular dystrophy ,Exondys 51
FABHLATA,iptacopan,"December 5, 2023",Treatment of adults with paroxysmal nocturnal hemoglobinuria (PNH),Fabhlata
ADLYXIN,lixisenatide,"July 27, 2016",Improvement of blood sugar control in adults with diabetes mellitus (DM) type 2 when used in addition to diet and exercise,Adlyxin
XIIDRA,lifitegrast,"July 11, 2016",Treatment of the signs and symptoms of dry eye disease.,Xiidra
EPCLUSA,sofosbuvir and velpatasvir,"June 28, 2016","Treatment of chronic Hepatitis C virus genotypes 1, 2, 3, 4, 5 or 6 infection.",Epclusa
NETSPOT,kit for the preparation of gallium Ga 68 dotatate injection,"June 1, 2016",Detection of a specific type of tumors called somatostatin receptor positive neuro-endocrine tumors (NETs),Netspot
AXUMIN,fluciclovine F 18,"May 27, 2016",Detection of prostate cancer recurrence,Axumin
OCALIVA,obeticholic acid,"May 27, 2016",Treatment of primary biliary cholangitis in adults,Ocaliva
ZINBRYTA,daclizumab,"May 27, 2016",Treatment of relapsing forms of multiple sclerosis (MS),Zinbryta
TECENTRIQ,atezolizumab,"May 18, 2016",Treatment of a type of bladder cancer called urothelial carcinoma,Tecentriq
NUPLAZID,pimavanserin,"April 29, 2016",Treatment of hallucinations and delusions in patients with Parkinson’s disease,Nuplazid
VENCLEXTA,venetoclax,"April 11, 2016",Treatment of chronic lymphocytic leukemia (CLL),Venclexta
DEFITELIO,defibrotide sodium,"March 30, 2016",Treatment of hepatic veno-occlusive disease (VOD),Defitelio
CINQUAIR ,reslizumab,"March 23, 2016",Treatment of a specific type of severe asthma (called eosinophilic phenotype asthma),Cinquair
TALTZ,ixekizumab,"March 22, 2016",Treatment of moderate to severe plaque psoriasis in adults,Taltz
TALVEY,talquetamab-tgvs,"August 10, 2023",To treat a form of blood cancer called multiple myeloma,Talvey
ANTHIM,obiltoxaximab,"March 18, 2016",Treatment of inhalational anthrax,Anthim
BRIVIACT ,brivaracetam ,"February 18, 2016  ",Treatment of partial-onset seizures ,Briviact 
ZEPATIER,elbasvir and grazoprevir,"January 28, 2016",Treatment of chronic Hepatis C genotypes 1 or 4 infection,Zepatier
ZURAMPIC,lesinurad,"December 22, 2015",Lowering uric acid levels in the blood of adult patients with gout,Zurampic 
UPTRAVI,selexipag,"December 21, 2015",Treatment of adults with pulmonary artery hypertension,Uptravi
BRIDION ,sugammadex ,"December 15, 2015  ",Reversal of the effects of certain neuromuscular blocking agents ,Bridion 
ALECENSA,alectinib,"December 11, 2015",Treatment of metastatic non-small cell lung cancer,Alecensa
VISTOGARD,uridine triacetate,"December 11, 2015",Emergency treatment of an overdose with fluorouracil or capecitabine,Vistogard
KANUMA,sebelipase alfa,"December 8, 2015",Treatment of Lysosomal Acid Lipase (LAL) deficiency,Kanuma
EMPLICITI,elotuzumab,"November 30, 2015",Treatment of multiple myeloma,Empliciti
PORTRAZZA,necitumumab,"November 24, 2015",Treatment of metastatic squamous non-small cell lung cancer,Portrazza
NINLARO,ixazomib ,"November 20, 2015 ",Treatment of multiple myeloma ,Ninlaro 
DARZALEX,daratumumab,"November 16, 2015",Treatment of multiple myeloma,DarzalexExternal Link Disclaimer
TAGRISSO,osimertinib ,"November 13, 2015",Treatment of patients with advanced non-small cell lung cancer (NSCLC)  ,Tagrisso 
COTELLIC,(cobimetinib),"November 10, 2015",Part of combination treatment melanoma,Cotellic
GENVOYA,"elvitegravir, cobicistat, emtricitabine, and tenofovir alafenamide","November 5, 2015",Complete regimen for the treatment of HIV-1 in adults and children 12 years of age and older.,Genvoya
NUCALA,mepolizumab,"November 4, 2015",Treatment of a specific type of severe asthma (called eosinophilic phenotype asthma),Nucala
STRENSIQ,asfotase alfa ,"October 23, 2015 ","Treatment of perinatal, infantile and juvenile-onset hypophosphatasia (HPP) ",Strensiq 
YONDELIS ,trabectedin ,"October 23, 2015 ",Treatment of certain types of advances tissue sarcoma  ,Yondelis 
VELTASSA,patiromer,"October 21, 2015",Treatment of hyperkalemia,Veltassa
PRAXBIND,idarucizumab,"October 16, 2015",Reversal of the anticoagulant effects of Pradaxa during emergency situations or when there is a need to reverse its blood-thinning effects,Praxbindpfolda
ARISTADA,aripiprazole laurixil,"October 5, 2015",Treatment of schizophrenia,Aristada
RYZODEG,insulin degludec and insulin aspart injection,"September 26, 2015",Improves blood sugar control in adults with diabetes mellitus (DM),Ryzodeg
TRESIBA,insulin degludec injection ,"September 25, 2015 ",Improve glucose control in adults with diabetes mellitus ,Tresiba 
LONSURF,trifluridine and tipiracil,"September 22, 2015",Treatment of advanced colorectal cancer,Lonsurf
VRAYLAR,cariprazine,"September 17, 2015",Treatment of bipolar disorder,Vraylar
VRAYLAR,cariprazine,"September 17, 2015",Treatment of schizophrenia,Vraylar
XURIDEN,uridine triacetate,"September 4, 2015",Treatment of patients with hereditary orotic aciduria,Xuriden
VARUBI,rolapitant,"September 1, 2015",Prevent delayed phase chemotherapy-induced nausea and vomiting,Varubi
REPATHA,evolocumab,"August 27, 2015",Treatment of certain patients with high cholesterol,Repatha
ADDYI,flibanserin,"August 18, 2015","Treatment of acquired, generalized hypoactive sexual desire disorder (HSDD) in premenopausal women",Addyi
DAKLINZA,daclatasvir,"July 24, 2015",Treatment of chronic Hepatitis C genotype 3 infection,DaklinzaExternal Link Disclaimer
ODOMZO,sonidegib,"July 24, 2015",Treatment of locally advanced basal cell carcinoma ,Odomzo
PRALUENT ,alirocumab,"July 24, 2015",Treatment of certain patients with high cholesterol ,Praluent
REXULTI,brexpiprazole,"July 10, 2015",Treatment of major depressive disorder,Rexulti 
ENTRESTO,sacubitril/valsartan,"July 7, 2015",Treatment of heart failure,Entresto
ORKAMBI,lumacaftor/ivacaftor,"July 2, 2015",Treatment of cystic fibrosis,Orkambi
KENGREAL,cangrelor,"June 22, 2015",Prevention of coronary artery blood clot formation in patients undergoing PCI,Kengreal
VIBERZI,eluxadoline,"May 27, 2015",Treatment of irritable bowel syndrome with diarrhea,Viberzi
STIOLTO RESPIMAT,tiotropium bromide and olodaterol,"May 21, 2015",Long-term treatment of COPD,Stiolto Respimat
KYBELLA,deoxycholic acid,"April 29, 2015",Treatment for double chin,Kybella
CORLANOR ,ivabradine,"April 15, 2015",Reduce hospitalization from worsening heart failure.,Corlanor
CHOLBAM ,cholic acid,"March 17, 2015",Treatment of bile acid synthesis disorders due to single enzyme defects ,Cholbam 
CHOLBAM ,cholic acid,"March 17, 2015","Treatment of peroxisomal disorders, including Zellweger spectrum disorders ",Cholbam
UNITUXIN ,dinutuximab,"March 10, 2015",Treatment of children with high-risk neuroblastoma,Unituxin
CRESEMBA,isavuconazonium sulfate,"March 6, 2015",Treatment of invasive aspergillosis,Cresemba
CRESEMBA,isavuconazonium sulfate,"March 6, 2015",Treatment of invasive mucormycosis,Cresemba
AVYCAZ,ceftazidime-avibactam,"February 25, 2015",Treatment of complicated intra-abdominal infection (abbreviated as cIAI) ,Avycaz
AVYCAZ,ceftazidime-avibactam,"February 25, 2015",Treatment of complicated urinary tract infection (abbreviated as cUTI),Avycaz
FARYDAK,panobinostat,"February 23, 2015",Treatment of multiple myeloma,Farydak
LENVIMA,lenvatinib,"February 13, 2015","Treatment of progressive, differentiated thyroid cancer (DTC) that can no longer be treated with radioactive iodine ",Lenvima
IBRANCE,palbociclib,"February 3, 2015","Treatment of a specific form of advanced breast cancer called ER-positive, HER2-negative (ER+/HER-) breast cancer in women who have gone through menopause (post-menopausal)",Ibrance
NATPARA,parathyroid hormone,"January 23, 2015",Control of hypocalcemia along with calcium and vitamin D in adults with hypoparathyroidism,Natpara
COSENTYX,secukinumab,"January 21, 2015",Treatment of moderate to severe plaque psoriasis in adults who do not respond well to medication applied directly to the skin,Cosentyx
SAVAYSA,edoxaban,"January 8, 2015 ",Prevention of stroke in patients with atrial fibrillation,Savaysa  
SIVEXTRO,tedizolid,"June 20, 2014",Treatment of serious bacterial skin infections known as acute bacterial skin and skin structure infections,Sivextro
JUBLIA,efinaconazole,"June 6, 2014",Treatment of fungal infection of the toenails due to two common forms of fungi,Jublia
DALVANCE,dalbavancin hydrochloride,"May 23, 2014",Treatment of serious bacterial skin infections,Dalvance
ENTYVIO,vedolizumab,"May 20, 2014",Treatment of Crohn’s Disease,Entyvio
ENTYVIO,vedolizumab,"May 20, 2014",Treatment of Ulcerative Colitis,Entyvio
ZONTIVITY,vorapaxar,"May 8, 2014",Reduction of heart attacks and stroke in high-risk patients,Zontivity
